Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,02/01/2018,CFADRES33519368,REDACTED UNDER DP ACT,1300,A M J CARE LTD,347176,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519105,REDACTED UNDER DP ACT,12914.6,AARON COURT,173212,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519235,REDACTED UNDER DP ACT,9136,ABBEYFIELD - SHANDFORD,292973,231972268,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518816,REDACTED UNDER DP ACT,13216.42,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519313,REDACTED UNDER DP ACT,1154.84,ABBEYFIELD REENE COURT,331700,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519035,REDACTED UNDER DP ACT,1118,ABBEYWOOD HOUSE,121568,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518809,REDACTED UNDER DP ACT,1782.2,ACTION ON HEARING LOSS (LONDON),87497,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519034,REDACTED UNDER DP ACT,9126.08,ACTION ON HEARING LOSS (LONDON),121442,564524337,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519317,REDACTED UNDER DP ACT,1140,ADAMSCOURT / VAUXIAN HOTELS LTD,332687,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518877,REDACTED UNDER DP ACT,34690.44,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518804,REDACTED UNDER DP ACT,24172.38,ALBAN HOUSE,87208,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519162,REDACTED UNDER DP ACT,1052,ALINTHIA HOUSE,218317,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518963,REDACTED UNDER DP ACT,2536.86,ALLIED BACK-UP PROJECT,90897,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519362,REDACTED UNDER DP ACT,1244.18,ALPHA CARE (CATERHAM) LTD,345743,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519300,REDACTED UNDER DP ACT,19038,ALPHINGTON LODGE/TN CARE,326200,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518911,REDACTED UNDER DP ACT,4268.96,ALPINE LODGE RCH LTD,90255,213169728,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519116,REDACTED UNDER DP ACT,9316.6,ALSTON COURT RESIDENTIAL HOME,182686,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADDOM33471472,REDACTED UNDER DP ACT,707.28,ANGEL HOME CARE,210685,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADDOM33471468,REDACTED UNDER DP ACT,1081.08,ANGEL HOME CARE,210685,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519055,REDACTED UNDER DP ACT,4869.36,ANGELA COURT_LTD,148116,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519011,REDACTED UNDER DP ACT,970,APPLEBY REST HOMES LTD,109617,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519005,REDACTED UNDER DP ACT,8378.86,ARCOT HOUSE,106088,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518852,REDACTED UNDER DP ACT,12854.98,ARUNDEL HOUSE,89227,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519338,REDACTED UNDER DP ACT,978,ASHCROFT / REGAL CARE TRADING LD,340288,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519106,REDACTED UNDER DP ACT,21421.72,ASHFIELD RESIDENTIAL HOME,173331,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518840,REDACTED UNDER DP ACT,7298,ASHLEIGH MANOR,89097,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518931,REDACTED UNDER DP ACT,2056.92,ASSISSI COMMUNITY CARE,90460,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519182,REDACTED UNDER DP ACT,30018.76,ASSISTED LIVING SOUTH WEST,231671,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADDAY33441625,REDACTED UNDER DP ACT,851.2,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441624,REDACTED UNDER DP ACT,912,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441633,REDACTED UNDER DP ACT,1094.4,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441631,REDACTED UNDER DP ACT,516.8,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441630,REDACTED UNDER DP ACT,1276.8,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441629,REDACTED UNDER DP ACT,1276.8,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441632,REDACTED UNDER DP ACT,1276.8,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441623,REDACTED UNDER DP ACT,912,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441627,REDACTED UNDER DP ACT,1414.88,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441628,REDACTED UNDER DP ACT,1094.4,ATLANTIC SUPPORT (DEVON) LTD,202818,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
